,LONGITUDE,LATITUDE
0,-84.0158,41.9164
1,-83.7611,42.2875
2,-83.6933,42.2417
3,-83.7108,42.2947
4,-83.8608,41.84
5,-83.4358,42.0636
6,-84.0133,42.3264
7,-83.6489,41.9553
8,-83.9858,42.4344
9,-84.0236,42.1508
10,-83.6186,42.0664
11,-83.6769,42.0811
12,-83.4158,41.9069
13,-83.28,41.9497
14,-83.7819,42.1611
15,-83.82,42.1236
16,-83.5831,41.8069
17,-83.9336,42.0028
18,-84.1108,42.0283
19,-83.7831,42.4356
20,-83.4764,41.5631
21,-84.4667,42.2667
22,-83.5333,42.2333
23,-83.7444,42.2228
